Date,Transaction status,Transaction type,Order ID,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (EUR)
13/02/2025,Released,Order Payment,405-9234547-5938712,Spray Yara 100ml,26.33,0,-13.58,9.78,22.53
13/02/2025,Released,Order Payment,406-6899848-8669945,Spray Yara 100ml,26.07,0,-9.92,5.74,21.89
13/02/2025,Released,Order Payment,405-3599026-6095515,Spray Yara 100ml,26.34,0,-10.23,5.79,21.9
13/02/2025,Released,Order Payment,171-5992560-5681924,Spray Yara 100ml,51.56,-3.27,-20.25,14.61,42.65
13/02/2025,Released,Order Payment,406-6293368-2646747,Spray Asad 100 Ml,24.58,0,-9.92,5.41,20.07
13/02/2025,Released,Order Payment,406-7430138-1033122,Spray Yara 100ml,26.48,0,-10.26,5.82,22.04
13/02/2025,Released,Order Payment,404-8724190-2037926,Spray Qaaed 100 Ml,18.03,0,-4.52,10.93,24.44
13/02/2025,Released,Order Payment,408-8990252-8758704,Spray Yara 100ml,24.79,0,-9.94,5.45,20.3
13/02/2025,Deferred,Order Payment,171-8062083-3082702,Lattafa Profumo Personale Spray 100 ml M...,31.3,0,-11.15,6.89,27.04
13/02/2025,Deferred,Order Payment,403-2881353-5760363,Fragrance World Apex - Profumo Arabic Ea...,42.2,0,-13.18,9.29,38.31
13/02/2025,Released,Order Payment,402-1937469-5744307,Spray Yara 100ml,26.35,0,-10.23,5.8,21.92
13/02/2025,Released,Order Payment,408-3123639-9681912,Spray Yara 100ml,26.14,-0.55,-9.93,6.3,21.96
13/02/2025,Deferred,Order Payment,405-5536519-7343540,Spray Yara 100ml,24.18,0,-16.91,14.47,21.74
13/02/2025,Deferred,Order Payment,402-1124429-4815517,Spray Yara 100ml,25.77,0,-10.12,5.67,21.32
13/02/2025,Deferred,Order Payment,407-5376572-5031531,Spray Shaheen Silver 100ml,24.59,0,-8.86,5.41,21.14
13/02/2025,Deferred,Order Payment,407-3994508-1783506,Spray Mohra 100ml,18.15,0,-8.7,3.99,13.44
13/02/2025,Deferred,Order Payment,406-5513875-6068361,Fragrance World Divin Asylum - Acqua pro...,23.77,0,-6.12,16.23,33.88
13/02/2025,Deferred,Order Payment,403-8219369-8174709,Spray Gharam 100ml,26.23,0,-6.58,16.77,36.42
13/02/2025,Deferred,Order Payment,404-5706954-5465933,Fragrance World Cherry Incense Acqua Pro...,20.49,0,-12.12,8.5,16.87
13/02/2025,Deferred,Order Payment,404-3915797-8350747,Ramadan24 Eternal Oud Eau de Parfum Latt...,23.77,-1.09,-9.49,6.32,19.51
13/02/2025,Deferred,Order Payment,407-9252672-4943537,Fragrance World Cherry Incense Acqua Pro...,40.98,-3.27,-17.75,12.29,32.25
13/02/2025,Deferred,Order Payment,405-8742464-7676346,Ramadan24 Eternal Oud Eau de Parfum Latt...,23.77,-1.09,-9.49,6.32,19.51
13/02/2025,Deferred,Order Payment,407-9142031-6889904,Fragrance World Cherry Incense Acqua Pro...,20.49,0,-8.88,4.51,16.12
13/02/2025,Released,Order Payment,171-0674970-4505965,Spray Yara 100ml,26.2,0,-10.21,5.77,21.76
13/02/2025,Released,Order Payment,403-9130900-3341962,Spray Yara 100ml,24.8,-1.64,-9.68,7.09,20.57
13/02/2025,Released,Order Payment,171-4085711-5900307,Spray Yara 100ml,24.79,0,-9.94,5.45,20.3
13/02/2025,Released,Order Payment,405-1831183-6325105,Spray Yara 100ml,24.8,0,-9.94,5.46,20.32
13/02/2025,Released,Order Payment,405-8751378-5427556,Spray Yara 100ml,24.8,-1.63,-9.94,7.08,20.31
13/02/2025,Released,Order Payment,403-7212490-1221144,Spray Yara 100ml,25.24,0,-9.76,5.55,21.03
13/02/2025,Released,Order Payment,171-0566791-2058708,Spray Yara 100ml,25.16,0,-13.35,9.52,21.33
13/02/2025,Released,Order Payment,404-5002754-6934708,Spray Yara 100ml,24.77,0,-9.67,5.45,20.55
12/2/2025,Released,Order Payment,404-6426375-4450736,Spray Yara 100ml,25.81,0,-10.12,5.68,21.37
12/2/2025,Released,Order Payment,408-5498661-6589156,Spray Yara 100ml,25.16,0,-10,5.53,20.69
12/2/2025,Released,Order Payment,407-9071150-3198724,Spray Yara 100ml,26.13,0,-10.19,5.75,21.69
12/2/2025,Released,Order Payment,171-3832343-8423520,Ramadan24 Eternal Oud Eau de Parfum Latt...,39.34,-3.27,-12.39,11.92,35.6
12/2/2025,Released,Order Payment,402-2459477-5814725,Spray Yara 100ml,25.14,0,-9.74,5.53,20.93
12/2/2025,Deferred,Order Payment,404-6772796-1137122,Spray Asad 100 Ml,24.58,0,-11.08,6.44,19.94
